Mobility_surrogate_key,Mobility_key,Date,Metro_area,Subregion,Province,Retail_and_recreation,Grocery_and_pharmacy,Park,Transit_stations,Workplaces,Residential
0,ChIJmcB2guBn0UwRr0RW_iic0LY20200901,2020-09-01,,Ottawa,Ontario,-18.0,-4.0,47.0,-59.0,-57.0,16.0
1,ChIJmcB2guBn0UwRr0RW_iic0LY20200902,2020-09-02,,Ottawa,Ontario,-22.0,-6.0,8.0,-62.0,-57.0,17.0
2,ChIJmcB2guBn0UwRr0RW_iic0LY20200903,2020-09-03,,Ottawa,Ontario,-13.0,2.0,77.0,-56.0,-56.0,15.0
3,ChIJmcB2guBn0UwRr0RW_iic0LY20200904,2020-09-04,,Ottawa,Ontario,-22.0,-5.0,61.0,-54.0,-53.0,14.0
4,ChIJmcB2guBn0UwRr0RW_iic0LY20200905,2020-09-05,,Ottawa,Ontario,-18.0,-5.0,0,-40.0,-4.0,1.0
5,ChIJmcB2guBn0UwRr0RW_iic0LY20200906,2020-09-06,,Ottawa,Ontario,-3.0,9.0,0,-39.0,4.0,-2.0
6,ChIJmcB2guBn0UwRr0RW_iic0LY20200907,2020-09-07,,Ottawa,Ontario,-57.0,-55.0,29.0,-77.0,-84.0,21.0
7,ChIJmcB2guBn0UwRr0RW_iic0LY20200908,2020-09-08,,Ottawa,Ontario,-17.0,6.0,13.0,-58.0,-58.0,16.0
8,ChIJmcB2guBn0UwRr0RW_iic0LY20200909,2020-09-09,,Ottawa,Ontario,-24.0,-7.0,2.0,-61.0,-57.0,18.0
9,ChIJmcB2guBn0UwRr0RW_iic0LY20200910,2020-09-10,,Ottawa,Ontario,-18.0,-1.0,21.0,-58.0,-56.0,17.0
10,ChIJmcB2guBn0UwRr0RW_iic0LY20200911,2020-09-11,,Ottawa,Ontario,-24.0,-9.0,78.0,-53.0,-52.0,15.0
11,ChIJmcB2guBn0UwRr0RW_iic0LY20200912,2020-09-12,,Ottawa,Ontario,-15.0,-3.0,175.0,-36.0,0.0,2.0
12,ChIJmcB2guBn0UwRr0RW_iic0LY20200913,2020-09-13,,Ottawa,Ontario,-17.0,-3.0,37.0,-46.0,-2.0,4.0
13,ChIJmcB2guBn0UwRr0RW_iic0LY20200914,2020-09-14,,Ottawa,Ontario,-19.0,-6.0,57.0,-59.0,-55.0,16.0
14,ChIJmcB2guBn0UwRr0RW_iic0LY20200915,2020-09-15,,Ottawa,Ontario,-21.0,-8.0,24.0,-59.0,-53.0,17.0
15,ChIJmcB2guBn0UwRr0RW_iic0LY20200916,2020-09-16,,Ottawa,Ontario,-22.0,-9.0,58.0,-59.0,-54.0,16.0
16,ChIJmcB2guBn0UwRr0RW_iic0LY20200917,2020-09-17,,Ottawa,Ontario,-19.0,-4.0,42.0,-58.0,-54.0,17.0
17,ChIJmcB2guBn0UwRr0RW_iic0LY20200918,2020-09-18,,Ottawa,Ontario,-26.0,-11.0,42.0,-56.0,-50.0,16.0
18,ChIJmcB2guBn0UwRr0RW_iic0LY20200919,2020-09-19,,Ottawa,Ontario,-18.0,-4.0,113.0,-42.0,-1.0,3.0
19,ChIJmcB2guBn0UwRr0RW_iic0LY20200920,2020-09-20,,Ottawa,Ontario,-13.0,1.0,131.0,-46.0,3.0,1.0
20,ChIJmcB2guBn0UwRr0RW_iic0LY20200921,2020-09-21,,Ottawa,Ontario,-22.0,-8.0,51.0,-61.0,-57.0,16.0
21,ChIJmcB2guBn0UwRr0RW_iic0LY20200922,2020-09-22,,Ottawa,Ontario,-25.0,-8.0,32.0,-60.0,-54.0,17.0
22,ChIJmcB2guBn0UwRr0RW_iic0LY20200923,2020-09-23,,Ottawa,Ontario,-26.0,-9.0,41.0,-62.0,-53.0,17.0
23,ChIJmcB2guBn0UwRr0RW_iic0LY20200924,2020-09-24,,Ottawa,Ontario,-25.0,-7.0,9.0,-62.0,-53.0,18.0
24,ChIJmcB2guBn0UwRr0RW_iic0LY20200925,2020-09-25,,Ottawa,Ontario,-29.0,-10.0,39.0,-58.0,-49.0,16.0
25,ChIJmcB2guBn0UwRr0RW_iic0LY20200926,2020-09-26,,Ottawa,Ontario,-21.0,-6.0,131.0,-46.0,0.0,3.0
26,ChIJmcB2guBn0UwRr0RW_iic0LY20200927,2020-09-27,,Ottawa,Ontario,-17.0,-1.0,117.0,-47.0,4.0,1.0
27,ChIJmcB2guBn0UwRr0RW_iic0LY20200928,2020-09-28,,Ottawa,Ontario,-25.0,-8.0,47.0,-63.0,-55.0,17.0
28,ChIJmcB2guBn0UwRr0RW_iic0LY20200929,2020-09-29,,Ottawa,Ontario,-28.0,-9.0,-6.0,-64.0,-54.0,18.0
29,ChIJmcB2guBn0UwRr0RW_iic0LY20200930,2020-09-30,,Ottawa,Ontario,-27.0,-6.0,-14.0,-65.0,-54.0,19.0
30,ChIJmcB2guBn0UwRr0RW_iic0LY20201001,2020-10-01,,Ottawa,Ontario,-23.0,-2.0,9.0,-61.0,-52.0,18.0
31,ChIJmcB2guBn0UwRr0RW_iic0LY20201002,2020-10-02,,Ottawa,Ontario,-33.0,-12.0,-8.0,-62.0,-49.0,19.0
32,ChIJmcB2guBn0UwRr0RW_iic0LY20201003,2020-10-03,,Ottawa,Ontario,-22.0,-3.0,78.0,-47.0,-3.0,5.0
33,ChIJmcB2guBn0UwRr0RW_iic0LY20201004,2020-10-04,,Ottawa,Ontario,-20.0,0.0,50.0,-53.0,-1.0,4.0
34,ChIJmcB2guBn0UwRr0RW_iic0LY20201005,2020-10-05,,Ottawa,Ontario,-27.0,-7.0,6.0,-65.0,-56.0,18.0
35,ChIJmcB2guBn0UwRr0RW_iic0LY20201006,2020-10-06,,Ottawa,Ontario,-28.0,-6.0,-4.0,-64.0,-53.0,18.0
36,ChIJmcB2guBn0UwRr0RW_iic0LY20201007,2020-10-07,,Ottawa,Ontario,-32.0,-9.0,-26.0,-68.0,-53.0,19.0
37,ChIJmcB2guBn0UwRr0RW_iic0LY20201008,2020-10-08,,Ottawa,Ontario,-24.0,3.0,5.0,-61.0,-52.0,18.0
38,ChIJmcB2guBn0UwRr0RW_iic0LY20201009,2020-10-09,,Ottawa,Ontario,-29.0,0.0,19.0,-57.0,-50.0,17.0
39,ChIJmcB2guBn0UwRr0RW_iic0LY20201010,2020-10-10,,Ottawa,Ontario,-29.0,1.0,89.0,-49.0,-4.0,6.0
40,ChIJmcB2guBn0UwRr0RW_iic0LY20201011,2020-10-11,,Ottawa,Ontario,-27.0,4.0,96.0,-51.0,0.0,3.0
41,ChIJmcB2guBn0UwRr0RW_iic0LY20201012,2020-10-12,,Ottawa,Ontario,-70.0,-62.0,42.0,-81.0,-84.0,24.0
42,ChIJmcB2guBn0UwRr0RW_iic0LY20201013,2020-10-13,,Ottawa,Ontario,-34.0,-7.0,-28.0,-65.0,-55.0,20.0
43,ChIJmcB2guBn0UwRr0RW_iic0LY20201014,2020-10-14,,Ottawa,Ontario,-31.0,-6.0,23.0,-63.0,-53.0,19.0
44,ChIJmcB2guBn0UwRr0RW_iic0LY20201015,2020-10-15,,Ottawa,Ontario,-33.0,-9.0,-25.0,-64.0,-54.0,21.0
45,ChIJmcB2guBn0UwRr0RW_iic0LY20201016,2020-10-16,,Ottawa,Ontario,-35.0,-8.0,-3.0,-61.0,-50.0,20.0
46,ChIJmcB2guBn0UwRr0RW_iic0LY20201017,2020-10-17,,Ottawa,Ontario,-25.0,-2.0,107.0,-46.0,-7.0,6.0
47,ChIJmcB2guBn0UwRr0RW_iic0LY20201018,2020-10-18,,Ottawa,Ontario,-25.0,-1.0,55.0,-52.0,-6.0,6.0
48,ChIJmcB2guBn0UwRr0RW_iic0LY20201019,2020-10-19,,Ottawa,Ontario,-34.0,-12.0,-19.0,-66.0,-57.0,20.0
49,ChIJmcB2guBn0UwRr0RW_iic0LY20201020,2020-10-20,,Ottawa,Ontario,-31.0,-7.0,0.0,-63.0,-54.0,19.0
50,ChIJmcB2guBn0UwRr0RW_iic0LY20201021,2020-10-21,,Ottawa,Ontario,-36.0,-13.0,-25.0,-67.0,-54.0,21.0
51,ChIJmcB2guBn0UwRr0RW_iic0LY20201022,2020-10-22,,Ottawa,Ontario,-30.0,-4.0,0.0,-61.0,-53.0,19.0
52,ChIJmcB2guBn0UwRr0RW_iic0LY20201023,2020-10-23,,Ottawa,Ontario,-30.0,-8.0,76.0,-56.0,-48.0,17.0
53,ChIJmcB2guBn0UwRr0RW_iic0LY20201024,2020-10-24,,Ottawa,Ontario,-27.0,-1.0,38.0,-49.0,-8.0,7.0
54,ChIJmcB2guBn0UwRr0RW_iic0LY20201025,2020-10-25,,Ottawa,Ontario,-23.0,1.0,60.0,-51.0,-4.0,5.0
55,ChIJmcB2guBn0UwRr0RW_iic0LY20201026,2020-10-26,,Ottawa,Ontario,-35.0,-13.0,-31.0,-66.0,-56.0,20.0
56,ChIJmcB2guBn0UwRr0RW_iic0LY20201027,2020-10-27,,Ottawa,Ontario,-31.0,-5.0,-15.0,-63.0,-53.0,19.0
57,ChIJmcB2guBn0UwRr0RW_iic0LY20201028,2020-10-28,,Ottawa,Ontario,-31.0,-6.0,-9.0,-63.0,-52.0,19.0
58,ChIJmcB2guBn0UwRr0RW_iic0LY20201029,2020-10-29,,Ottawa,Ontario,-28.0,-2.0,-21.0,-63.0,-52.0,19.0
59,ChIJmcB2guBn0UwRr0RW_iic0LY20201030,2020-10-30,,Ottawa,Ontario,-32.0,-3.0,-2.0,-59.0,-48.0,19.0
60,ChIJmcB2guBn0UwRr0RW_iic0LY20201031,2020-10-31,,Ottawa,Ontario,-26.0,3.0,51.0,-47.0,-6.0,6.0
61,ChIJmcB2guBn0UwRr0RW_iic0LY20201101,2020-11-01,,Ottawa,Ontario,-29.0,-3.0,-21.0,-56.0,-9.0,6.0
62,ChIJmcB2guBn0UwRr0RW_iic0LY20201102,2020-11-02,,Ottawa,Ontario,-35.0,-12.0,-29.0,-67.0,-55.0,19.0
63,ChIJmcB2guBn0UwRr0RW_iic0LY20201103,2020-11-03,,Ottawa,Ontario,-36.0,-15.0,-36.0,-66.0,-53.0,20.0
64,ChIJmcB2guBn0UwRr0RW_iic0LY20201104,2020-11-04,,Ottawa,Ontario,-35.0,-12.0,-14.0,-67.0,-52.0,20.0
65,ChIJmcB2guBn0UwRr0RW_iic0LY20201105,2020-11-05,,Ottawa,Ontario,-29.0,-7.0,10.0,-62.0,-51.0,19.0
66,ChIJmcB2guBn0UwRr0RW_iic0LY20201106,2020-11-06,,Ottawa,Ontario,-33.0,-11.0,21.0,-59.0,-48.0,19.0
67,ChIJmcB2guBn0UwRr0RW_iic0LY20201107,2020-11-07,,Ottawa,Ontario,-20.0,-3.0,114.0,-47.0,-2.0,5.0
68,ChIJmcB2guBn0UwRr0RW_iic0LY20201108,2020-11-08,,Ottawa,Ontario,-15.0,1.0,143.0,-49.0,2.0,3.0
69,ChIJmcB2guBn0UwRr0RW_iic0LY20201109,2020-11-09,,Ottawa,Ontario,-27.0,-8.0,34.0,-64.0,-53.0,18.0
70,ChIJmcB2guBn0UwRr0RW_iic0LY20201110,2020-11-10,,Ottawa,Ontario,-25.0,-6.0,20.0,-60.0,-50.0,18.0
71,ChIJmcB2guBn0UwRr0RW_iic0LY20201111,2020-11-11,,Ottawa,Ontario,-26.0,-9.0,-2.0,-65.0,-56.0,20.0
72,ChIJmcB2guBn0UwRr0RW_iic0LY20201112,2020-11-12,,Ottawa,Ontario,-26.0,-3.0,-14.0,-62.0,-50.0,19.0
73,ChIJmcB2guBn0UwRr0RW_iic0LY20201113,2020-11-13,,Ottawa,Ontario,-30.0,-10.0,-12.0,-60.0,-48.0,20.0
74,ChIJmcB2guBn0UwRr0RW_iic0LY20201114,2020-11-14,,Ottawa,Ontario,-20.0,-1.0,37.0,-48.0,-4.0,6.0
75,ChIJmcB2guBn0UwRr0RW_iic0LY20201115,2020-11-15,,Ottawa,Ontario,-26.0,-8.0,-30.0,-56.0,-6.0,7.0
76,ChIJmcB2guBn0UwRr0RW_iic0LY20201116,2020-11-16,,Ottawa,Ontario,-31.0,-12.0,-24.0,-66.0,-54.0,19.0
77,ChIJmcB2guBn0UwRr0RW_iic0LY20201117,2020-11-17,,Ottawa,Ontario,-31.0,-12.0,-31.0,-65.0,-50.0,20.0
78,ChIJmcB2guBn0UwRr0RW_iic0LY20201118,2020-11-18,,Ottawa,Ontario,-32.0,-12.0,-30.0,-67.0,-51.0,20.0
79,ChIJmcB2guBn0UwRr0RW_iic0LY20201119,2020-11-19,,Ottawa,Ontario,-27.0,-6.0,-18.0,-64.0,-50.0,19.0
80,ChIJmcB2guBn0UwRr0RW_iic0LY20201120,2020-11-20,,Ottawa,Ontario,-29.0,-8.0,9.0,-61.0,-47.0,19.0
81,ChIJmcB2guBn0UwRr0RW_iic0LY20201121,2020-11-21,,Ottawa,Ontario,-19.0,1.0,24.0,-53.0,-3.0,7.0
82,ChIJmcB2guBn0UwRr0RW_iic0LY20201122,2020-11-22,,Ottawa,Ontario,-22.0,-1.0,-9.0,-57.0,-4.0,7.0
83,ChIJmcB2guBn0UwRr0RW_iic0LY20201123,2020-11-23,,Ottawa,Ontario,-33.0,-18.0,-26.0,-66.0,-54.0,20.0
84,ChIJmcB2guBn0UwRr0RW_iic0LY20201124,2020-11-24,,Ottawa,Ontario,-29.0,-10.0,-33.0,-66.0,-50.0,19.0
85,ChIJmcB2guBn0UwRr0RW_iic0LY20201125,2020-11-25,,Ottawa,Ontario,-39.0,-22.0,-36.0,-68.0,-52.0,21.0
86,ChIJmcB2guBn0UwRr0RW_iic0LY20201126,2020-11-26,,Ottawa,Ontario,-25.0,-5.0,-37.0,-65.0,-50.0,20.0
87,ChIJmcB2guBn0UwRr0RW_iic0LY20201127,2020-11-27,,Ottawa,Ontario,-25.0,-5.0,-21.0,-59.0,-46.0,19.0
88,ChIJmcB2guBn0UwRr0RW_iic0LY20201128,2020-11-28,,Ottawa,Ontario,-16.0,4.0,7.0,-48.0,-1.0,7.0
89,ChIJmcB2guBn0UwRr0RW_iic0LY20201129,2020-11-29,,Ottawa,Ontario,-14.0,6.0,40.0,-51.0,1.0,5.0
90,ChIJmcB2guBn0UwRr0RW_iic0LY20201130,2020-11-30,,Ottawa,Ontario,-28.0,-11.0,-38.0,-67.0,-53.0,19.0
91,ChIJmcB2guBn0UwRr0RW_iic0LY20201201,2020-12-01,,Ottawa,Ontario,-28.0,-4.0,-39.0,-66.0,-50.0,19.0
92,ChIJmcB2guBn0UwRr0RW_iic0LY20201202,2020-12-02,,Ottawa,Ontario,-31.0,-8.0,-31.0,-68.0,-50.0,20.0
93,ChIJmcB2guBn0UwRr0RW_iic0LY20201203,2020-12-03,,Ottawa,Ontario,-26.0,-2.0,-29.0,-64.0,-49.0,19.0
94,ChIJmcB2guBn0UwRr0RW_iic0LY20201204,2020-12-04,,Ottawa,Ontario,-32.0,-9.0,-28.0,-63.0,-46.0,20.0
95,ChIJmcB2guBn0UwRr0RW_iic0LY20201205,2020-12-05,,Ottawa,Ontario,-20.0,2.0,-6.0,-53.0,-3.0,7.0
96,ChIJmcB2guBn0UwRr0RW_iic0LY20201206,2020-12-06,,Ottawa,Ontario,-19.0,3.0,10.0,-57.0,0.0,6.0
97,ChIJmcB2guBn0UwRr0RW_iic0LY20201207,2020-12-07,,Ottawa,Ontario,-28.0,-7.0,-21.0,-67.0,-53.0,19.0
98,ChIJmcB2guBn0UwRr0RW_iic0LY20201208,2020-12-08,,Ottawa,Ontario,-29.0,-8.0,-31.0,-67.0,-49.0,19.0
99,ChIJmcB2guBn0UwRr0RW_iic0LY20201209,2020-12-09,,Ottawa,Ontario,-34.0,-11.0,-28.0,-68.0,-50.0,20.0
100,ChIJmcB2guBn0UwRr0RW_iic0LY20201210,2020-12-10,,Ottawa,Ontario,-25.0,0.0,-29.0,-64.0,-49.0,19.0
101,ChIJmcB2guBn0UwRr0RW_iic0LY20201211,2020-12-11,,Ottawa,Ontario,-27.0,-1.0,-14.0,-62.0,-45.0,19.0
102,ChIJmcB2guBn0UwRr0RW_iic0LY20201212,2020-12-12,,Ottawa,Ontario,-27.0,-3.0,-25.0,-55.0,-6.0,9.0
103,ChIJmcB2guBn0UwRr0RW_iic0LY20201213,2020-12-13,,Ottawa,Ontario,-20.0,2.0,-9.0,-58.0,-1.0,6.0
104,ChIJmcB2guBn0UwRr0RW_iic0LY20201214,2020-12-14,,Ottawa,Ontario,-27.0,-4.0,-26.0,-68.0,-53.0,19.0
105,ChIJmcB2guBn0UwRr0RW_iic0LY20201215,2020-12-15,,Ottawa,Ontario,-28.0,-6.0,-43.0,-67.0,-50.0,19.0
106,ChIJmcB2guBn0UwRr0RW_iic0LY20201216,2020-12-16,,Ottawa,Ontario,-30.0,-8.0,-45.0,-69.0,-50.0,20.0
107,ChIJmcB2guBn0UwRr0RW_iic0LY20201217,2020-12-17,,Ottawa,Ontario,-22.0,4.0,-36.0,-65.0,-49.0,19.0
108,ChIJmcB2guBn0UwRr0RW_iic0LY20201218,2020-12-18,,Ottawa,Ontario,-28.0,-3.0,-24.0,-62.0,-45.0,19.0
109,ChIJmcB2guBn0UwRr0RW_iic0LY20201219,2020-12-19,,Ottawa,Ontario,-20.0,5.0,-2.0,-50.0,-2.0,7.0
110,ChIJmcB2guBn0UwRr0RW_iic0LY20201220,2020-12-20,,Ottawa,Ontario,-21.0,2.0,5.0,-55.0,2.0,6.0
111,ChIJmcB2guBn0UwRr0RW_iic0LY20201221,2020-12-21,,Ottawa,Ontario,-8.0,25.0,-14.0,-65.0,-59.0,18.0
112,ChIJmcB2guBn0UwRr0RW_iic0LY20201222,2020-12-22,,Ottawa,Ontario,-9.0,30.0,-33.0,-65.0,-57.0,18.0
113,ChIJmcB2guBn0UwRr0RW_iic0LY20201223,2020-12-23,,Ottawa,Ontario,-9.0,40.0,-31.0,-66.0,-57.0,18.0
114,ChIJmcB2guBn0UwRr0RW_iic0LY20201224,2020-12-24,,Ottawa,Ontario,-26.0,28.0,-47.0,-70.0,-67.0,20.0
115,ChIJmcB2guBn0UwRr0RW_iic0LY20201225,2020-12-25,,Ottawa,Ontario,-88.0,-83.0,-49.0,-87.0,-85.0,28.0
116,ChIJmcB2guBn0UwRr0RW_iic0LY20201226,2020-12-26,,Ottawa,Ontario,-68.0,-50.0,-23.0,-74.0,-37.0,13.0
117,ChIJmcB2guBn0UwRr0RW_iic0LY20201227,2020-12-27,,Ottawa,Ontario,-53.0,-26.0,15.0,-69.0,-19.0,9.0
118,ChIJmcB2guBn0UwRr0RW_iic0LY20201228,2020-12-28,,Ottawa,Ontario,-53.0,-23.0,-28.0,-81.0,-78.0,27.0
119,ChIJmcB2guBn0UwRr0RW_iic0LY20201229,2020-12-29,,Ottawa,Ontario,-47.0,-10.0,-30.0,-77.0,-69.0,25.0
120,ChIJmcB2guBn0UwRr0RW_iic0LY20201230,2020-12-30,,Ottawa,Ontario,-46.0,-3.0,-26.0,-77.0,-69.0,26.0
121,ChIJmcB2guBn0UwRr0RW_iic0LY20201231,2020-12-31,,Ottawa,Ontario,-38.0,14.0,-16.0,-76.0,-71.0,25.0
122,ChIJNWdhlINO1YkR3unhOZ62X8820200901,2020-09-01,,Durham,Ontario,-4.0,5.0,0,-44.0,-44.0,11.0
123,ChIJNWdhlINO1YkR3unhOZ62X8820200902,2020-09-02,,Durham,Ontario,-5.0,4.0,0,-52.0,-42.0,12.0
124,ChIJNWdhlINO1YkR3unhOZ62X8820200903,2020-09-03,,Durham,Ontario,-4.0,6.0,0,-48.0,-43.0,10.0
125,ChIJNWdhlINO1YkR3unhOZ62X8820200904,2020-09-04,,Durham,Ontario,-8.0,3.0,0,-42.0,-43.0,9.0
126,ChIJNWdhlINO1YkR3unhOZ62X8820200905,2020-09-05,,Durham,Ontario,-14.0,0.0,0,-14.0,-7.0,0.0
127,ChIJNWdhlINO1YkR3unhOZ62X8820200906,2020-09-06,,Durham,Ontario,-1.0,1.0,0,-13.0,-6.0,-2.0
128,ChIJNWdhlINO1YkR3unhOZ62X8820200907,2020-09-07,,Durham,Ontario,-45.0,-44.0,0,-63.0,-81.0,20.0
129,ChIJNWdhlINO1YkR3unhOZ62X8820200908,2020-09-08,,Durham,Ontario,-2.0,15.0,0,-48.0,-45.0,12.0
130,ChIJNWdhlINO1YkR3unhOZ62X8820200909,2020-09-09,,Durham,Ontario,-6.0,2.0,0,-52.0,-41.0,12.0
131,ChIJNWdhlINO1YkR3unhOZ62X8820200910,2020-09-10,,Durham,Ontario,-7.0,7.0,0,-50.0,-42.0,12.0
132,ChIJNWdhlINO1YkR3unhOZ62X8820200911,2020-09-11,,Durham,Ontario,-11.0,-1.0,56.0,-45.0,-39.0,10.0
133,ChIJNWdhlINO1YkR3unhOZ62X8820200912,2020-09-12,,Durham,Ontario,-9.0,3.0,144.0,-14.0,-1.0,2.0
134,ChIJNWdhlINO1YkR3unhOZ62X8820200913,2020-09-13,,Durham,Ontario,-7.0,1.0,62.0,-18.0,-5.0,3.0
135,ChIJNWdhlINO1YkR3unhOZ62X8820200914,2020-09-14,,Durham,Ontario,-7.0,2.0,67.0,-52.0,-39.0,11.0
136,ChIJNWdhlINO1YkR3unhOZ62X8820200915,2020-09-15,,Durham,Ontario,-6.0,2.0,54.0,-51.0,-40.0,12.0
137,ChIJNWdhlINO1YkR3unhOZ62X8820200916,2020-09-16,,Durham,Ontario,-8.0,-3.0,58.0,-51.0,-38.0,11.0
138,ChIJNWdhlINO1YkR3unhOZ62X8820200917,2020-09-17,,Durham,Ontario,-10.0,1.0,62.0,-49.0,-39.0,11.0
139,ChIJNWdhlINO1YkR3unhOZ62X8820200918,2020-09-18,,Durham,Ontario,-12.0,-4.0,38.0,-42.0,-37.0,10.0
140,ChIJNWdhlINO1YkR3unhOZ62X8820200919,2020-09-19,,Durham,Ontario,-10.0,1.0,110.0,-16.0,-2.0,3.0
141,ChIJNWdhlINO1YkR3unhOZ62X8820200920,2020-09-20,,Durham,Ontario,-5.0,0.0,101.0,-14.0,-3.0,2.0
142,ChIJNWdhlINO1YkR3unhOZ62X8820200921,2020-09-21,,Durham,Ontario,-11.0,-2.0,55.0,-52.0,-40.0,12.0
143,ChIJNWdhlINO1YkR3unhOZ62X8820200922,2020-09-22,,Durham,Ontario,-11.0,1.0,45.0,-51.0,-40.0,12.0
144,ChIJNWdhlINO1YkR3unhOZ62X8820200923,2020-09-23,,Durham,Ontario,-10.0,1.0,49.0,-53.0,-36.0,12.0
145,ChIJNWdhlINO1YkR3unhOZ62X8820200924,2020-09-24,,Durham,Ontario,-13.0,1.0,42.0,-52.0,-37.0,12.0
146,ChIJNWdhlINO1YkR3unhOZ62X8820200925,2020-09-25,,Durham,Ontario,-15.0,-3.0,44.0,-47.0,-35.0,11.0
147,ChIJNWdhlINO1YkR3unhOZ62X8820200926,2020-09-26,,Durham,Ontario,-11.0,2.0,131.0,-22.0,1.0,2.0
148,ChIJNWdhlINO1YkR3unhOZ62X8820200927,2020-09-27,,Durham,Ontario,-6.0,-2.0,105.0,-20.0,-1.0,2.0
149,ChIJNWdhlINO1YkR3unhOZ62X8820200928,2020-09-28,,Durham,Ontario,-13.0,0.0,52.0,-53.0,-37.0,12.0
150,ChIJNWdhlINO1YkR3unhOZ62X8820200929,2020-09-29,,Durham,Ontario,-12.0,3.0,24.0,-51.0,-39.0,12.0
151,ChIJNWdhlINO1YkR3unhOZ62X8820200930,2020-09-30,,Durham,Ontario,-13.0,-1.0,-9.0,-53.0,-37.0,13.0
152,ChIJNWdhlINO1YkR3unhOZ62X8820201001,2020-10-01,,Durham,Ontario,-12.0,7.0,24.0,-52.0,-36.0,12.0
153,ChIJNWdhlINO1YkR3unhOZ62X8820201002,2020-10-02,,Durham,Ontario,-17.0,-1.0,12.0,-50.0,-34.0,12.0
154,ChIJNWdhlINO1YkR3unhOZ62X8820201003,2020-10-03,,Durham,Ontario,-13.0,2.0,94.0,-25.0,-2.0,4.0
155,ChIJNWdhlINO1YkR3unhOZ62X8820201004,2020-10-04,,Durham,Ontario,-14.0,-2.0,-4.0,-28.0,-7.0,5.0
156,ChIJNWdhlINO1YkR3unhOZ62X8820201005,2020-10-05,,Durham,Ontario,-14.0,1.0,36.0,-55.0,-37.0,12.0
157,ChIJNWdhlINO1YkR3unhOZ62X8820201006,2020-10-06,,Durham,Ontario,-13.0,4.0,23.0,-54.0,-39.0,12.0
158,ChIJNWdhlINO1YkR3unhOZ62X8820201007,2020-10-07,,Durham,Ontario,-14.0,3.0,-5.0,-58.0,-36.0,13.0
159,ChIJNWdhlINO1YkR3unhOZ62X8820201008,2020-10-08,,Durham,Ontario,-11.0,13.0,20.0,-54.0,-36.0,12.0
160,ChIJNWdhlINO1YkR3unhOZ62X8820201009,2020-10-09,,Durham,Ontario,-13.0,11.0,33.0,-47.0,-35.0,11.0
161,ChIJNWdhlINO1YkR3unhOZ62X8820201010,2020-10-10,,Durham,Ontario,-16.0,9.0,94.0,-28.0,-3.0,4.0
162,ChIJNWdhlINO1YkR3unhOZ62X8820201011,2020-10-11,,Durham,Ontario,-14.0,5.0,74.0,-31.0,-6.0,3.0
163,ChIJNWdhlINO1YkR3unhOZ62X8820201012,2020-10-12,,Durham,Ontario,-58.0,-52.0,61.0,-75.0,-81.0,23.0
164,ChIJNWdhlINO1YkR3unhOZ62X8820201013,2020-10-13,,Durham,Ontario,-13.0,5.0,35.0,-53.0,-39.0,12.0
165,ChIJNWdhlINO1YkR3unhOZ62X8820201014,2020-10-14,,Durham,Ontario,-13.0,1.0,32.0,-57.0,-35.0,13.0
166,ChIJNWdhlINO1YkR3unhOZ62X8820201015,2020-10-15,,Durham,Ontario,-18.0,-2.0,-29.0,-58.0,-37.0,15.0
167,ChIJNWdhlINO1YkR3unhOZ62X8820201016,2020-10-16,,Durham,Ontario,-15.0,0.0,17.0,-51.0,-33.0,12.0
168,ChIJNWdhlINO1YkR3unhOZ62X8820201017,2020-10-17,,Durham,Ontario,-11.0,4.0,101.0,-26.0,0.0,5.0
169,ChIJNWdhlINO1YkR3unhOZ62X8820201018,2020-10-18,,Durham,Ontario,-13.0,-3.0,31.0,-31.0,-6.0,5.0
170,ChIJNWdhlINO1YkR3unhOZ62X8820201019,2020-10-19,,Durham,Ontario,-18.0,-4.0,-14.0,-59.0,-37.0,14.0
171,ChIJNWdhlINO1YkR3unhOZ62X8820201020,2020-10-20,,Durham,Ontario,-12.0,2.0,16.0,-55.0,-38.0,13.0
172,ChIJNWdhlINO1YkR3unhOZ62X8820201021,2020-10-21,,Durham,Ontario,-13.0,0.0,-2.0,-59.0,-35.0,14.0
173,ChIJNWdhlINO1YkR3unhOZ62X8820201022,2020-10-22,,Durham,Ontario,-14.0,4.0,5.0,-56.0,-35.0,14.0
174,ChIJNWdhlINO1YkR3unhOZ62X8820201023,2020-10-23,,Durham,Ontario,-14.0,-3.0,49.0,-51.0,-32.0,12.0
175,ChIJNWdhlINO1YkR3unhOZ62X8820201024,2020-10-24,,Durham,Ontario,-11.0,4.0,53.0,-31.0,-1.0,5.0
176,ChIJNWdhlINO1YkR3unhOZ62X8820201025,2020-10-25,,Durham,Ontario,-8.0,-1.0,31.0,-30.0,-4.0,5.0
177,ChIJNWdhlINO1YkR3unhOZ62X8820201026,2020-10-26,,Durham,Ontario,-14.0,0.0,-1.0,-59.0,-37.0,13.0
178,ChIJNWdhlINO1YkR3unhOZ62X8820201027,2020-10-27,,Durham,Ontario,-16.0,-2.0,-23.0,-58.0,-37.0,14.0
179,ChIJNWdhlINO1YkR3unhOZ62X8820201028,2020-10-28,,Durham,Ontario,-9.0,4.0,11.0,-57.0,-33.0,13.0
180,ChIJNWdhlINO1YkR3unhOZ62X8820201029,2020-10-29,,Durham,Ontario,-12.0,5.0,-9.0,-55.0,-34.0,13.0
